日時,投稿日,画像ファイル,プラットフォーム,結果,投稿ID,エラー内容
2026-08-23 23:03:55,2026-08-25,images/1-1.jpg,Threads,成功,18083085476442528,
2026-08-23 23:04:13,2026-08-25,images/1-2.jpg,Threads,成功,18109762478025627,
2026-08-23 23:04:29,2026-08-25,images/1-3.jpg,Threads,成功,18126794956758967,
2026-08-24 06:44:39,2026-08-24,images/2-1.jpg,Threads,成功,18164191450471743,
2026-08-24 06:44:55,2026-08-24,images/2-2.jpg,Threads,成功,18612508024025298,
2026-08-24 06:45:11,2026-08-24,images/2-3.jpg,Threads,成功,18029317703667326,
2026-08-25 00:24:31,2026-08-23,instagram:images/1-1.jpg,Instagram,成功,18091522619559806,
2026-08-25 00:31:01,2026-08-24,instagram:images/2-1.jpg,Instagram,成功,18073470710709319,
2026-08-25 06:57:44,2026-08-25,images/3-1.jpg,Threads,成功,18149120440545006,
2026-08-25 06:58:02,2026-08-25,images/3-2.jpg,Threads,成功,18108347132125645,
2026-08-25 06:58:18,2026-08-25,images/3-3.jpg,Threads,成功,18113657525067021,
2026-08-25 06:59:00,2026-08-25,instagram:images/3-1.jpg,Instagram,成功,18465617566116307,
