検索キーワード,アカウント名,投稿本文,いいね数,コメント数,フック,文字数,型
老後資金,@ruritama_meg,"私、収入に見合わない生活なんだろか。周りは、めちゃくちゃ優雅に暮らせてる。なんか凹む。55歳。本当に貯蓄も無いし毎月、厳しい。多肉植物、編み物も本当はしちゃいけないのかも。って思う。でもさ、母子家庭でずっとやってきたのに、だらしないだけなのかな。老後資金本当にない。そんな方、居ますか？",6237,170,"私、収入に見合わない生活なんだろか。",145,弱さの告白＋仲間探し
節約,@tktr3333,"妻曰く、100円くらいの晩御飯らしい。普通に旨いし、いつも節約ありがとう。家計のことを考えて、工夫してくれる妻には感謝しかありません。",5769,204,"妻曰く、100円くらいの晩御飯らしい。",68,日常の一場面＋感謝
節約,@yuto__papa_kenkou,"正直に聞きたいんだけど…みんなどうやってお金貯めてるの？支払い終わったらもうほぼ残ってない。節約してるつもりなのに貯めるお金が出てこない。同じ人います？",5287,229,"正直に聞きたいんだけど…",76,弱さの告白＋仲間探し
節約,@rabbit.8879164,"節約のためにクイックルワイパーのシートも買うのを辞めて、雑巾で食器洗剤と水で床拭きをしようと思うのですが、そういう主婦の節約術みたいなのあれば教えていただけませんか？今までと同じように普通に暮らしてるだけなのに毎月の出費が多くなってきて、、削れるものは削っていこうかと思います。",3966,161,"節約のためにクイックルワイパーのシートも買うのを辞めて",139,教えて（質問）
節約,@___myataro,"私は節約生活を意識しているのにも関わらず、ちょっと良い塩を使っています。その塩でおにぎり作ると本当に美味しいから、心が貧しくならずに自炊を続けられてます。給料日なので、その塩の詰替買いました。っていう他人からしたらどうでも良いつぶやきでした。",2923,125,"私は節約生活を意識しているのにも関わらず、ちょっと良い塩を使っています。",120,ゆるい本音（矛盾の告白）
貯金,@74xfas,"もう病気。お金ないと思ってもカードで服買ってしまう。子供が小さい頃は貯金するべきとよく聞くけども使ってしまう。服やバッグ買うのほんと辞めたい。みんな貯金できてるの？",2281,116,"もう病気。",82,弱さの告白＋仲間探し
老後資金,@roguri17,"47歳、独身のおっさん。資産運用してるけど、ふと思う。これ、俺が死んだら結局は国に帰るだけなんよな。……なんのために増やしてんだろ。",1906,344,"47歳、独身のおっさん。",66,問い（意味を問う）
貯金,@bigb.minima,"給料が入っても支払いでほとんど消えていく。貯金できない…同じ人いますか？",1865,98,"給料が入っても支払いでほとんど消えていく。",36,弱さの告白＋仲間探し
節約,@setsuyaku_55,"貯金が趣味の方、おすすめの節約法を知りたいです！収入が多いかたではなく、節約で貯金しているかたに教えていただきたいです。固定支出を見直しまくったので、もう削れないと思っています．でも、もっと支出を減らしたい…！！！",1608,76,"貯金が趣味の方、おすすめの節約法を知りたいです！",107,教えて（質問）
資産形成,@reinyan07,"もう年金いらないんで、自分で資産形成するんで、とりあえず返してもらっていいですか…？",6444,40,"もう年金いらないんで、",41,短い言い切り（共感される本音）
教育費,@mamasaifu_mamoru,"はっきり言いますが「返さなくていい奨学金」を知らない人が多すぎる。子ども1人にかかる教育費って公立でも1,000万円は必要。お金のせいで進学を諦めるのは勿体無い。キーエンスは大学生に毎月10万円くれる。他にもニトリ、コカコーラ、DAISOまでも、親も子どもも絶対に知っておきたい制度は",1375,20,"はっきり言いますが「返さなくていい奨学金」を知らない人が多すぎる。",140,断言＋具体名＋続きが気になる
老後資金,@yuto__papa_kenkou,"50代の焦り。老後資金。考えない日はない。でも現実は税金。物価高。生活費。なかなか思うように貯まらない。同じ人いますか？",1173,79,"50代の焦り。",60,弱さの告白＋仲間探し
